date,category,recipe_id,recipe_name
2026-07-18,主菜,119,卵としめじのしょうが焼き
2026-07-18,副菜,127,ほうれん草のごま和え
2026-07-18,汁物,269,トマトと卵の中華スープ
2026-07-19,主菜,115,卵とトマトの塩こうじ焼き
2026-07-19,副菜,209,きのこミックスの塩昆布和え
2026-07-19,汁物,235,トマトと卵の味噌汁
2026-07-20,主菜,117,卵と玉ねぎのカレー炒め
2026-07-20,副菜,192,ピーマンのごま和え
2026-07-20,汁物,276,かぶと卵の中華スープ
2026-07-21,主菜,112,卵と玉ねぎの照り焼き
2026-07-21,副菜,203,トマトのおかか和え
2026-07-21,汁物,286,小松菜としめじの豆乳スープ
2026-07-22,主菜,34,豚ロース肉としめじの味噌炒め
2026-07-22,副菜,176,かぼちゃの蒸しサラダ
2026-07-22,汁物,280,もやしとわかめの中華スープ
2026-07-23,主菜,20,鶏むね肉としめじの野菜蒸し
2026-07-23,副菜,211,きのこミックスの蒸しサラダ
2026-07-23,汁物,274,ほうれん草としめじの中華スープ
2026-07-24,主菜,91,むきえびとしめじのごまぽん酢
2026-07-24,副菜,193,ピーマンのおかか和え
2026-07-24,汁物,248,かぼちゃと玉ねぎのコンソメスープ
2026-07-25,主菜,54,生鮭としめじの味噌炒め
2026-07-25,副菜,196,ピーマンの蒸しサラダ
2026-07-25,汁物,228,かぼちゃと玉ねぎの味噌汁
2026-07-26,主菜,86,むきえびとしめじのトマト煮
2026-07-26,副菜,208,きのこミックスのおかか和え
2026-07-26,汁物,261,白菜としめじのコンソメスープ
2026-07-27,主菜,39,豚ロース肉としめじのしょうが焼き
2026-07-27,副菜,207,きのこミックスのごま和え
2026-07-27,汁物,246,小松菜としめじのコンソメスープ
2026-07-28,主菜,120,卵とトマトの野菜蒸し
2026-07-28,副菜,128,ほうれん草のおかか和え
2026-07-28,汁物,277,切り干し大根とにんじんの中華スープ
2026-07-29,主菜,114,卵としめじの味噌炒め
2026-07-29,副菜,124,小松菜の塩昆布和え
2026-07-29,汁物,262,卵とわかめの中華スープ
2026-07-30,主菜,21,鶏むね肉とにんじんのごまぽん酢
2026-07-30,副菜,123,小松菜のおかか和え
2026-07-30,汁物,252,れんこんとにんじんのコンソメスープ
2026-07-31,主菜,121,卵とにらのごまぽん酢
2026-07-31,副菜,129,ほうれん草の塩昆布和え
2026-07-31,汁物,231,ごぼうとにんじんの味噌汁
2026-08-01,主菜,118,卵と小松菜の甘酢あん
2026-08-01,副菜,131,ほうれん草の蒸しサラダ
2026-08-01,汁物,266,小松菜と卵の中華スープ
2026-08-02,主菜,45,牛こま切れ肉としめじの塩こうじ焼き
2026-08-02,副菜,130,ほうれん草のナムル
2026-08-02,汁物,236,ほうれん草と豆腐の味噌汁
2026-08-03,主菜,9,鶏もも肉としめじのしょうが焼き
2026-08-03,副菜,210,きのこミックスのナムル
2026-08-03,汁物,238,きのこミックスと長ねぎの味噌汁
2026-08-04,主菜,7,鶏もも肉と玉ねぎのカレー炒め
2026-08-04,副菜,172,かぼちゃのごま和え
2026-08-04,汁物,293,かぶと玉ねぎの豆乳スープ
2026-08-05,主菜,12,鶏むね肉と玉ねぎの照り焼き
2026-08-05,副菜,175,かぼちゃのナムル
2026-08-05,汁物,245,トマトと玉ねぎのコンソメスープ
2026-08-06,主菜,22,豚こま切れ肉と玉ねぎの照り焼き
2026-08-06,副菜,173,かぼちゃのおかか和え
2026-08-06,汁物,272,れんこんとにんじんの中華スープ
2026-08-07,主菜,57,生鮭と玉ねぎのカレー炒め
2026-08-07,副菜,174,かぼちゃの塩昆布和え
2026-08-07,汁物,294,きのこミックスと白菜の豆乳スープ
2026-08-08,主菜,52,生鮭と玉ねぎの照り焼き
2026-08-08,副菜,177,じゃがいものごま和え
2026-08-08,汁物,298,もやしと小松菜の豆乳スープ
2026-08-09,主菜,70,さばと玉ねぎの野菜蒸し
2026-08-09,副菜,194,ピーマンの塩昆布和え
2026-08-09,汁物,282,かぼちゃと玉ねぎの豆乳スープ
2026-08-10,主菜,111,厚揚げとにらのごまぽん酢
2026-08-10,副菜,195,ピーマンのナムル
2026-08-10,汁物,243,じゃがいもとにんじんのコンソメスープ
2026-08-11,主菜,69,さばとしめじのしょうが焼き
2026-08-11,副菜,125,小松菜のナムル
2026-08-11,汁物,297,なすとトマトの豆乳スープ
2026-08-12,主菜,104,厚揚げとしめじの味噌炒め
2026-08-12,副菜,126,小松菜の蒸しサラダ
2026-08-12,汁物,281,小松菜とコーンの中華スープ
2026-08-13,主菜,102,厚揚げと小松菜の照り焼き
2026-08-13,副菜,122,小松菜のごま和え
2026-08-13,汁物,232,れんこんとしめじの味噌汁
2026-08-14,主菜,59,生鮭としめじのしょうが焼き
2026-08-14,副菜,217,切り干し大根のごま和え
2026-08-14,汁物,264,白菜としめじの中華スープ
2026-08-15,主菜,65,さばと玉ねぎの塩こうじ焼き
2026-08-15,副菜,218,切り干し大根のおかか和え
2026-08-15,汁物,253,もやしと小松菜のコンソメスープ
2026-08-16,主菜,94,木綿豆腐としめじの味噌炒め
2026-08-16,副菜,181,じゃがいもの蒸しサラダ
2026-08-16,汁物,223,大根とにんじんの味噌汁
